scope,t,measurement,parameters.mean,parameters.sigma,condition,distribution

ode_,24,1.08431,C1,sigma,down,normal
ode_,24,0.937267,C1,sigma,down,normal
ode_,24,0.864778,C1,sigma,down,normal
ode_,48,0.241971,C1,sigma,down,normal
ode_,48,0.362404,C1,sigma,down,normal
ode_,48,0.218304,C1,sigma,down,normal
ode_,72,0.00151803,C1,sigma,down,normal
ode_,72,0.00148556,C1,sigma,down,normal
ode_,72,0.00193085,C1,sigma,down,normal
ode_,96,4.55E-05,C1,sigma,down,normal
ode_,96,5.15E-05,C1,sigma,down,normal
ode_,96,5.00E-05,C1,sigma,down,normal

ode_,0.5,0.0917541,C1,sigma,up,normal
ode_,0.5,0.071857,C1,sigma,up,normal
ode_,0.5,0.0765851,C1,sigma,up,normal
ode_,1,0.168204,C1,sigma,up,normal
ode_,1,0.19663,C1,sigma,up,normal
ode_,1,0.200198,C1,sigma,up,normal
ode_,2,0.279776,C1,sigma,up,normal
ode_,2,0.252361,C1,sigma,up,normal
ode_,2,0.215188,C1,sigma,up,normal
ode_,4,0.530445,C1,sigma,up,normal
ode_,4,0.670241,C1,sigma,up,normal
ode_,4,0.474567,C1,sigma,up,normal
