scope,t,measurement,prob.mean,prob.sigma,condition,prob.type

start_,0,1.797151886,STAT5_abs,sd_STAT5_abs,task2,normal
start_,0,2.069033885,STAT5_abs,sd_STAT5_abs,task2,normal
start_,0,1.839063523,STAT5_abs,sd_STAT5_abs,task2,normal

start_,0,1.453849804,SHP1_abs,sd_SHP1_abs,task2,normal
start_,0,1.489448392,SHP1_abs,sd_SHP1_abs,task2,normal
start_,0,1.337460641,SHP1_abs,sd_SHP1_abs,task2,normal

ode_,120,1.463322435,CIS_abs,sd_CIS_abs,task2,normal
ode_,120,1.416600024,CIS_abs,sd_CIS_abs,task2,normal
ode_,120,1.293415451,CIS_abs,sd_CIS_abs,task2,normal

ode_,120,1.091836552,SOCS3_abs,sd_SOCS3_abs,task2,normal
ode_,120,0.860675797,SOCS3_abs,sd_SOCS3_abs,task2,normal
ode_,120,1.062290064,SOCS3_abs,sd_SOCS3_abs,task2,normal

start_,0,0.508,pSTAT5B_rel,sd_pSTAT5_rel,task2,normal
start_,0,0.684588165,pSTAT5B_rel,sd_pSTAT5_rel,task2,normal
start_,0,1.147136313,pSTAT5B_rel,sd_pSTAT5_rel,task2,normal
start_,0,1.160931614,pSTAT5B_rel,sd_pSTAT5_rel,task2,normal
ode_,10,78.02,pSTAT5B_rel,sd_pSTAT5_rel,task2,normal
ode_,10,68.44743303,pSTAT5B_rel,sd_pSTAT5_rel,task2,normal
ode_,10,74.05419128,pSTAT5B_rel,sd_pSTAT5_rel,task2,normal
ode_,10,71.55139474,pSTAT5B_rel,sd_pSTAT5_rel,task2,normal
