scope,t,measurement,prob.mean,prob.sigma,condition,prob.type

start_,0,-1.674274777,pJAK2_au,sd_JAK2EpoR_au,task5,normal
start_,0,-1.582310457,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,0.5,-0.705956125,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,1,-0.421299842,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,1.5,-0.383923183,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,2,-0.43334733,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,3,-0.308799335,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,4,-0.042521777,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,5,0,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,6,-0.09713723,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,7.5,-0.118821812,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,9,-0.184913509,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,10.5,-0.081962223,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,12,-0.219164539,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,13.5,-0.31991534,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,15,-0.618350553,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,16.5,-0.397170665,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,18,-0.123583555,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,20,-0.452426028,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,22,-0.641832181,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,25,-0.730089805,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,28,-0.41086672,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,31,-0.762417049,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,35,-1.112909669,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,40,-0.785329912,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,45,-0.624628283,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,50,-0.896724098,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,60,-1.195097257,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,65,-0.945275598,pJAK2_au,sd_JAK2EpoR_au,task5,normal
ode_,70,-0.65294001,pJAK2_au,sd_JAK2EpoR_au,task5,normal

start_,0,-0.509010399,pEpoR_au,sd_JAK2EpoR_au,task5,normal
start_,0,-1.568778604,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,0.5,-0.675893656,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,1,-0.372670403,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,1.5,-0.040241219,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,2,-0.165182766,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,3,-0.000641025,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,4,-0.114236953,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,5,0,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,6,-0.280899813,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,7.5,-0.379443258,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,9,-0.042579905,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,10.5,-0.700895925,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,12,-0.289500719,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,13.5,-0.469501858,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,15,-0.11011269,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,16.5,-0.021669979,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,18,-0.548012165,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,20,-0.77815125,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,22,-0.663307132,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,25,-0.919007637,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,28,-0.843201668,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,31,-1.072976552,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,35,-1.096301914,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,40,-1.009866852,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,45,-0.915107515,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,50,-1.158015195,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,60,-0.829245166,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,65,-0.801845916,pEpoR_au,sd_JAK2EpoR_au,task5,normal
ode_,70,-0.981049243,pEpoR_au,sd_JAK2EpoR_au,task5,normal
