scope,t,measurement,prob.mean,prob.sigma,condition,prob.type

start_,0,-1.955997626,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,5,0,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,10,-0.127344806,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,20,-0.127344806,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,40,-0.581607138,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,60,-1.365472629,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,80,-0.787282786,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,100,-1.033352739,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,120,-1.597287476,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,140,-0.87244778,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,160,-0.866920046,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,180,-1.250016128,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,220,-1.227362269,pJAK2_au,sd_JAK2EpoR_au,task1,normal
ode_,240,-0.990906111,pJAK2_au,sd_JAK2EpoR_au,task1,normal

start_,0,-2.35532523,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,5,-0.154400562,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,10,0,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,20,-0.217191392,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,40,-0.719316116,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,60,-0.996595215,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,80,-0.954877441,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,100,-1.155856215,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,120,-0.548184611,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,140,-0.872772917,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,160,-0.620594296,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,180,-1.295146764,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,220,-1.397735201,pEpoR_au,sd_JAK2EpoR_au,task1,normal
ode_,240,-1.068890435,pEpoR_au,sd_JAK2EpoR_au,task1,normal

start_,0,-1.769359933,CIS_au,sd_CIS_au,task1,normal
ode_,5,-1.410951985,CIS_au,sd_CIS_au,task1,normal
ode_,10,-1.670728349,CIS_au,sd_CIS_au,task1,normal
ode_,20,-1.430792185,CIS_au,sd_CIS_au,task1,normal
ode_,40,-0.890319303,CIS_au,sd_CIS_au,task1,normal
ode_,60,-0.548991561,CIS_au,sd_CIS_au,task1,normal
ode_,80,-0.085746042,CIS_au,sd_CIS_au,task1,normal
ode_,100,-0.03514695,CIS_au,sd_CIS_au,task1,normal
ode_,140,-0.111766932,CIS_au,sd_CIS_au,task1,normal
ode_,160,-0.124037679,CIS_au,sd_CIS_au,task1,normal
ode_,180,-0.021761362,CIS_au,sd_CIS_au,task1,normal
ode_,220,-0.040283855,CIS_au,sd_CIS_au,task1,normal
ode_,240,0,CIS_au,sd_CIS_au,task1,normal

ode_,10,-0.959711517,SOCS3_au,sd_SOCS3_au,task1,normal
ode_,20,-0.550579477,SOCS3_au,sd_SOCS3_au,task1,normal
ode_,60,-0.244981248,SOCS3_au,sd_SOCS3_au,task1,normal
