scope,t,measurement,prob.mean,prob.sigma,condition,prob.type

ode_,15,0.126391167,SOCS3RNA_foldA,sd_RNA_fold,task3,normal
ode_,30,0.097316966,SOCS3RNA_foldA,sd_RNA_fold,task3,normal
ode_,60,0.72200705,SOCS3RNA_foldA,sd_RNA_fold,task3,normal
ode_,120,0.558851551,SOCS3RNA_foldA,sd_RNA_fold,task3,normal
ode_,240,0.596907124,SOCS3RNA_foldA,sd_RNA_fold,task3,normal
ode_,360,0.525840484,SOCS3RNA_foldA,sd_RNA_fold,task3,normal

ode_,15,0.159738447,SOCS3RNA_foldB,sd_RNA_fold,task3,normal
ode_,30,0.190730994,SOCS3RNA_foldB,sd_RNA_fold,task3,normal
ode_,60,0.663611072,SOCS3RNA_foldB,sd_RNA_fold,task3,normal
ode_,120,0.593449277,SOCS3RNA_foldB,sd_RNA_fold,task3,normal
ode_,360,0.350983296,SOCS3RNA_foldB,sd_RNA_fold,task3,normal

ode_,15,0.065990862,SOCS3RNA_foldC,sd_RNA_fold,task3,normal
ode_,30,0.220909411,SOCS3RNA_foldC,sd_RNA_fold,task3,normal
ode_,60,0.977981498,SOCS3RNA_foldC,sd_RNA_fold,task3,normal
ode_,120,0.634514025,SOCS3RNA_foldC,sd_RNA_fold,task3,normal
ode_,240,0.596907124,SOCS3RNA_foldC,sd_RNA_fold,task3,normal
ode_,360,0.651759417,SOCS3RNA_foldC,sd_RNA_fold,task3,normal

ode_,15,0.020264138,CISRNA_foldA,sd_RNA_fold,task3,normal
ode_,30,0.155010385,CISRNA_foldA,sd_RNA_fold,task3,normal
ode_,60,0.849845913,CISRNA_foldA,sd_RNA_fold,task3,normal
ode_,120,0.493021403,CISRNA_foldA,sd_RNA_fold,task3,normal
ode_,240,0.412612029,CISRNA_foldA,sd_RNA_fold,task3,normal
ode_,360,0.276477023,CISRNA_foldA,sd_RNA_fold,task3,normal

ode_,15,0.023912634,CISRNA_foldB,sd_RNA_fold,task3,normal
ode_,30,0.162726759,CISRNA_foldB,sd_RNA_fold,task3,normal
ode_,60,0.737850291,CISRNA_foldB,sd_RNA_fold,task3,normal
ode_,120,0.558288777,CISRNA_foldB,sd_RNA_fold,task3,normal
ode_,360,0.337678772,CISRNA_foldB,sd_RNA_fold,task3,normal

ode_,15,0.013492622,CISRNA_foldC,sd_RNA_fold,task3,normal
ode_,30,0.148287366,CISRNA_foldC,sd_RNA_fold,task3,normal
ode_,60,0.561700788,CISRNA_foldC,sd_RNA_fold,task3,normal
ode_,120,0.377848188,CISRNA_foldC,sd_RNA_fold,task3,normal
ode_,240,0.344469892,CISRNA_foldC,sd_RNA_fold,task3,normal
ode_,360,0.168301015,CISRNA_foldC,sd_RNA_fold,task3,normal
