scope,t,measurement,parameters.mean,parameters.sigma,condition,distribution

start_,0,-1.42714728,pJAK2_au,sd_JAK2EpoR_au,task9_1,normal
ode_,5,-0.007119741,pJAK2_au,sd_JAK2EpoR_au,task9_1,normal
ode_,10,-0.03300026,pJAK2_au,sd_JAK2EpoR_au,task9_1,normal
ode_,30,-0.471857015,pJAK2_au,sd_JAK2EpoR_au,task9_1,normal
ode_,60,-0.916718843,pJAK2_au,sd_JAK2EpoR_au,task9_1,normal

start_,0,-1.608526034,pEpoR_au,sd_JAK2EpoR_au,task9_1,normal
ode_,5,-0.372997587,pEpoR_au,sd_JAK2EpoR_au,task9_1,normal
ode_,10,-0.360552767,pEpoR_au,sd_JAK2EpoR_au,task9_1,normal
ode_,30,-0.793612852,pEpoR_au,sd_JAK2EpoR_au,task9_1,normal
ode_,60,-1.122804607,pEpoR_au,sd_JAK2EpoR_au,task9_1,normal

start_,0,-1.29136238,CIS_au,sd_CIS_au,task9_1,normal
ode_,5,-1.365755325,CIS_au,sd_CIS_au,task9_1,normal
ode_,10,-1.33621136,CIS_au,sd_CIS_au,task9_1,normal
ode_,30,-0.802066858,CIS_au,sd_CIS_au,task9_1,normal
ode_,60,-0.125525225,CIS_au,sd_CIS_au,task9_1,normal

start_,0,0,tSTAT5_au,sd_STAT5_au,task9_1,normal
ode_,5,-0.16185082,tSTAT5_au,sd_STAT5_au,task9_1,normal
ode_,10,-0.122799351,tSTAT5_au,sd_STAT5_au,task9_1,normal
ode_,30,-0.107081309,tSTAT5_au,sd_STAT5_au,task9_1,normal
ode_,60,-0.205408691,tSTAT5_au,sd_STAT5_au,task9_1,normal

start_,0,-1.300412298,pSTAT5_au,sd_STAT5_au,task9_1,normal
ode_,5,-0.325133226,pSTAT5_au,sd_STAT5_au,task9_1,normal
ode_,10,-0.235837625,pSTAT5_au,sd_STAT5_au,task9_1,normal
ode_,30,-0.376497033,pSTAT5_au,sd_STAT5_au,task9_1,normal
ode_,60,-0.626726875,pSTAT5_au,sd_STAT5_au,task9_1,normal

start_,0,-0.09017663,tSHP1_au,sd_SHP1_au,task9_1,normal
ode_,5,-0.06038476,tSHP1_au,sd_SHP1_au,task9_1,normal
ode_,10,0,tSHP1_au,sd_SHP1_au,task9_1,normal
ode_,30,-0.039309734,tSHP1_au,sd_SHP1_au,task9_1,normal
ode_,60,-0.088637487,tSHP1_au,sd_SHP1_au,task9_1,normal
