scope,t,measurement,prob.mean,prob.sigma,condition,prob.type

start_,0,-1.12595226,pJAK2_au,sd_JAK2Epo_au,task8_0,normal
ode_,10,0,pJAK2_au,sd_JAK2Epo_au,task8_0,normal
ode_,60,-0.62385712,pJAK2_au,sd_JAK2Epo_au,task8_0,normal
ode_,120,-0.575552441,pJAK2_au,sd_JAK2Epo_au,task8_0,normal

start_,0,-1.33451514,pEpoR_au,sd_JAK2Epo_au,task8_0,normal
ode_,10,0,pEpoR_au,sd_JAK2Epo_au,task8_0,normal
ode_,60,-0.438949211,pEpoR_au,sd_JAK2Epo_au,task8_0,normal
ode_,120,-0.434753096,pEpoR_au,sd_JAK2Epo_au,task8_0,normal

start_,0,-0.746724423,CIS_au,sd_CIS_au,task8_0,normal
ode_,10,-0.865977521,CIS_au,sd_CIS_au,task8_0,normal
ode_,60,0,CIS_au,sd_CIS_au,task8_0,normal
ode_,120,-0.013363962,CIS_au,sd_CIS_au,task8_0,normal

start_,0,-1.555779569,SOCS3_au,sd_SOCS3_au,task8_0,normal
ode_,10,-1.629043481,SOCS3_au,sd_SOCS3_au,task8_0,normal
ode_,60,-1.076053061,SOCS3_au,sd_SOCS3_au,task8_0,normal
ode_,120,-0.993078826,SOCS3_au,sd_SOCS3_au,task8_0,normal

start_,0,-2.259354129,pSTAT5_au,sd_pSTAT5_au,task8_0,normal
ode_,10,0,pSTAT5_au,sd_pSTAT5_au,task8_0,normal
ode_,60,-0.465590635,pSTAT5_au,sd_pSTAT5_au,task8_0,normal
ode_,120,-0.477121255,pSTAT5_au,sd_pSTAT5_au,task8_0,normal
