id,model,tspan,parameter.ActD,parameter.CISoe,parameter.SOCS3oe,parameter.SHP1oe,parameter.epo_level,observables[]
task1,nameless,300,0,0,0,0,1.25E-07,pJAK2_au;pEpoR_au;CIS_au;SOCS3_au;tSTAT5_au;pSTAT5_au
task2,nameless,150,0,0,0,0,1.25E-07,STAT5_abs;SHP1_abs;CIS_abs;SOCS3_abs;pSTAT5B_rel
task3,nameless,400,0,0,0,0,1.25E-07,SOCS3RNA_foldA;SOCS3RNA_foldB;SOCS3RNA_foldC;CISRNA_foldA;CISRNA_foldB;CISRNA_foldC
task4_0,nameless,360,0,0,0,0,1.25E-07,pJAK2_au;pEpoR_au;tSTAT5_au;pSTAT5_au;CIS_au
task4_1,nameless,360,1,0,0,0,1.25E-07,pJAK2_au;pEpoR_au;tSTAT5_au;pSTAT5_au;CIS_au
task5,nameless,70,0,0,0,0,1.30E-06,pJAK2_au;pEpoR_au
task6_0,nameless,120,0,0,0,0,1.20E-07,pJAK2_au;pEpoR_au;CIS_au;SOCS3_au;pSTAT5_au
task6_1,nameless,120,0,1,0,0,1.20E-07,pJAK2_au;pEpoR_au;CIS_au;SOCS3_au;pSTAT5_au
task7_0,nameless,120,0,0,0,0,1.20E-07,pEpoR_au
task7_1,nameless,120,0,1,0,0,1.20E-07,pEpoR_au
task8_0,nameless,120,0,0,0,0,1.20E-07,pJAK2_au;pEpoR_au;CIS_au;SOCS3_au;pSTAT5_au
task8_1,nameless,120,0,0,1,0,1.20E-07,pJAK2_au;pEpoR_au;CIS_au;SOCS3_au;pSTAT5_au
task9_0,nameless,60,0,0,0,0,1.20E-07,pJAK2_au;pEpoR_au;CIS_au;tSTAT5_au;pSTAT5_au;tSHP1_au
task9_1,nameless,60,0,0,0,1,1.20E-07,pJAK2_au;pEpoR_au;CIS_au;tSTAT5_au;pSTAT5_au;tSHP1_au
task10_0,nameless,7,0,0,0,0,2.50E-09,pJAK2_au;pEpoR_au
task10_1,nameless,7,0,0,0,0,2.50E-08,pJAK2_au;pEpoR_au
task10_2,nameless,7,0,0,0,0,2.50E-07,pJAK2_au;pEpoR_au
task10_3,nameless,7,0,0,0,0,2.50E-06,pJAK2_au;pEpoR_au
task10_4,nameless,7,0,0,0,0,2.50E-05,pJAK2_au;pEpoR_au
task11_0,nameless,30,0,0,0,0,2.50E-09,pJAK2_au;pEpoR_au
task11_1,nameless,30,0,0,0,0,2.50E-08,pJAK2_au;pEpoR_au
task11_2,nameless,30,0,0,0,0,1.25E-07,pJAK2_au;pEpoR_au
task11_3,nameless,30,0,0,0,0,2.50E-07,pJAK2_au;pEpoR_au
task11_4,nameless,30,0,0,0,0,1.25E-06,pJAK2_au;pEpoR_au
task11_5,nameless,30,0,0,0,0,2.50E-06,pJAK2_au;pEpoR_au
task12_0,nameless,10,0,0,0,0,1.25E-08,pSTAT5_au
task12_1,nameless,10,0,0,0,0,1.75E-08,pSTAT5_au
task12_2,nameless,10,0,0,0,0,1.25E-07,pSTAT5_au
task12_3,nameless,10,0,0,0,0,1.77E-07,pSTAT5_au
task12_4,nameless,10,0,0,0,0,2.50E-07,pSTAT5_au
task12_5,nameless,10,0,0,0,0,2.50E-06,pSTAT5_au
task13_0,nameless,90,0,0,0,0,2.50E-09,CIS_au1;CIS_au2
task13_1,nameless,90,0,0,0,0,2.50E-08,CIS_au1;CIS_au2
task13_2,nameless,90,0,0,0,0,1.25E-07,CIS_au1;CIS_au2
task13_3,nameless,90,0,0,0,0,2.50E-07,CIS_au1;CIS_au2
task13_4,nameless,90,0,0,0,0,2.50E-06,CIS_au1;CIS_au2
